features,instrument_family,instrument_source
"[402.7720150198412, -6.664101342994095, -6.27935152819492, 11.498723024724415, -3.101018365095256, -5.2572479201661935, 6.1536992950022835, 0.5022609147660381, -4.842083613817482, 2.434491467121645, 3.3639572723652305, -5.086336533841828, -0.33050130048453685, 927.8972021968983, 0.0388139582152893]",5,0
"[640.0606095536623, 104.27352721160065, 63.3338699682459, 55.35640143337424, 17.462498754154826, 10.827520135060055, 0.35338120031608633, -11.612996431038436, -13.025203288537007, -13.63745172499016, -10.135052590983562, -9.905710246400846, -4.313185147994751, 320.61720010429076, 0.12120444326785891]",6,1
"[712.1562384069931, 126.42231004021781, 18.980220137465924, 7.180861347735799, 11.895570125350133, -2.907360314942756, -4.075821982058685, 2.3971539938694972, -0.0563311405321729, 2.7157500375204093, 7.304789308889154, 6.629232316548525, 7.844504579624722, 253.32609935658155, 0.299010589639257]",2,2
"[716.5451735382385, 122.32472030139677, -41.41684702865936, -11.771156746675793, -8.228990245604924, -3.037576373460848, -12.796388373403575, -10.118642062105671, 4.449510796712951, -17.742513787341146, -4.463551588244344, 14.458287471184384, -25.41541200283144, 617.8052861423859, 0.16524367800261983]",7,0
"[827.0979662017129, -12.03197104008648, -7.669953785886473, 41.0673958189749, -28.16922083086515, 0.4664415458613668, -18.20685852724383, -10.874218737826777, -17.16301844991639, -10.592942793370755, -32.332518912804396, -6.791420985214357, -5.2101023822495405, 1938.5280355324678, 0.18560089759576917]",10,2
"[651.7759602105131, 158.8735598599424, -0.5643196649824328, 1.3611082734370146, 6.462458630656348, -4.399556700527792, 3.3455224524110974, -0.10761271507928842, -0.616928423811231, -1.1931374756604962, -7.056207477703347, -6.851859661404679, -6.566456675006975, 794.8846505211003, 0.2960717318261356]",4,0
"[516.3782998204275, 16.19206399585799, -9.197262068992098, -1.2370022161969814, -16.20528278137169, -4.280833523289023, -0.3381921518744889, -9.379845430680673, -11.734792028173432, 0.43632210011746225, -1.7124429993970203, -7.850297921528872, -8.08395070136257, 1042.53102208561, 0.10700983525471983]",3,1
"[674.0723223123093, 94.89344130843602, -18.560009344734766, -29.527274208995184, -20.223377343595374, -12.48340706491544, -15.299601339879327, -12.70678083659152, -7.213214114149744, -5.197723384355361, -6.96006882978531, -9.507087527472288, -1.27330649960391, 867.2618832995475, 0.12529748017524292]",1,0
"[432.6061747514102, 56.63660543654804, -63.30540637092299, -13.319651634922588, -15.074094610659975, -5.944950926585697, -14.327029865258325, -6.9199712432563025, -7.6102574375872285, -0.05257398612209652, -2.5643198746576044, 1.057162993703331, -2.0526205202785186, 967.2259390819328, 0.4756428590954465]",0,2
"[757.3263495196405, 94.61282344533561, -8.503332934417497, 40.5991603739844, 2.284869139393819, -3.475201082748239, 0.04429165454910423, 2.55658178144727, -4.515691794813166, -3.828171751428785, -5.1724221864357895, -6.152199456052116, -5.594888886536451, 716.1423362632202, 0.13275996026958445]",6,1
"[457.6143553998234, -2.7431616204820637, -0.6499364501330973, 1.9548705827521773, 2.763028289690254, -0.07738258243185575, -2.147284961199327, 3.363155888733724, 1.431532027167567, -2.348895533158784, -0.15939594544474148, 4.422619379905798, -3.4770677162813275, 3341.911898561043, 0.1692529229639216]",3,0
"[591.5729112601304, 63.96874722502313, 57.11808303037463, 50.30805402978111, 43.1863079814457, 34.74005433237018, 26.813514269357647, 20.737852780488215, 14.889487618892714, 8.344798746339864, 2.894403603462676, -0.4741260177264705, -3.2176394953045366, 400.60526269646095, 0.29061350400125296]",4,1
"[551.1571024735296, 25.210959960062393, 5.725706545761965, -2.0063416024247203, -1.608456209501731, -0.05299735810398989, 0.7996751650966586, 0.9945288418871326, 0.9518981374429606, 0.3671946986354766, 0.3388062328167974, 1.548723466138502, 4.3474210276441, 851.009218094524, 0.251025521993629]",1,0
"[467.65410882241, 52.642369973873365, 39.221482311386026, 31.741797854169413, 28.839360339518517, 27.590200109172073, 25.23299172127784, 22.509221188264554, 18.957963724047424, 16.55259085939691, 14.527377419415961, 12.717588736769446, 11.230360961164404, 185.5435758936892, 0.4959176473967865]",3,1
"[96.04342880003138, -13.274672866930931, 10.591186329845023, -7.697154143055824, 7.056894990002684, -5.703280769410038, 6.690440030351073, -6.262477202732599, 6.690529416534896, -7.0997404791927305, 5.551686966874439, -4.99733963138321, 4.2902128538662705, 4231.867223510591, 0.15322258574514508]",3,2
"[598.9542056720119, 32.62738082788114, 4.51095791757769, -8.595816840109013, -19.912260206035292, -19.19836231657066, -17.40679675472021, 6.326263397654583, 20.33588254174069, -6.616745187679525, -43.47126558877466, -28.685869910588803, 11.080625789985046, 662.8697472304001, 0.0918973308969228]",0,2
"[439.84316023030595, -23.05968877087294, 0.05750425322998395, 20.10925196699381, -5.054025092637284, -7.2264427381356375, 24.58327975167675, 2.407521832692122, -24.896181620943704, 41.88958411117465, -21.235770056528207, 4.679586690697175, 18.830408133161388, 2549.7774495019307, 0.09095960642848035]",7,0
"[787.7786259333747, 119.60874321612391, -10.076696071167433, 20.513943438889, -53.95356355866096, -21.973314707720007, 32.191377003232375, -10.681435615330033, -16.609209587806358, 7.477819921024089, 0.5199326190804262, 10.72684612478277, 2.161811681104385, 978.6064108343371, 0.2214139811302743]",10,0
"[570.0301013988382, 51.060337806457554, 24.747347259286176, 21.498770632140282, 18.273456353604356, 17.015150048939933, 14.367755322857773, 14.155175225153428, 12.916089284317913, 12.359232192895204, 10.846326091122208, 9.927290115734996, 8.856886973546146, 130.6439703635155, 0.37086460071872246]",0,2
"[671.5085854709947, -30.014107513748222, -22.977385684474605, 1.5381456025156648, -18.01185769956748, 13.412836442420613, 46.03201383828196, 55.30624174757172, 15.927825703020124, -19.045434857385654, -28.70730459991111, 21.22176334679586, 27.190872787946695, 1899.825066259876, 0.14147159707548632]",2,0
"[467.97182948258643, 0.6810066373936765, 1.99686414764232, 8.449479416865632, -0.8899906706034783, -2.4962345824181598, 5.083369618586713, -1.0977119840609024, -4.691966213626739, 7.551327367563668, -3.4581041549849076, -1.165990541123597, 4.588750981380214, 3088.3410952128716, 0.17007909384842965]",0,2
"[626.3146377219136, 102.58265238679598, 62.132121952866385, 23.689311465113445, 3.256521689742788, 3.571876761619323, 14.396407655678939, 21.62829611425927, 18.488009983804137, 7.409542826980368, -4.776995981828404, -12.936990021603627, -16.054435271917157, 288.5037078159913, 0.17043074833689334]",10,2
"[574.0937502596723, 52.91350791263099, -24.043304875682153, -33.912026592467434, -23.829229426141517, -17.797623955876293, -15.62063963307846, -14.36735646309124, -10.641499769025963, -4.555444852080878, 7.708680289618993, 22.251633633214762, 28.91006890011779, 637.295597594807, 0.091149176579562]",1,0
"[620.7123229254269, -1.6005222416222906, -6.238111869834008, 4.8602724954361864, -1.9163057068168097, -1.0595079346079164, -1.1655386354298307, -0.4734754049825662, -1.6588190078857519, 2.1288410693139754, -0.058815152670895175, 2.6082238804562246, -2.056650634205868, 796.1442626901318, 0.11032298456375735]",0,2
"[574.3773820555808, 38.665840466608024, 20.55872793450833, 6.036503418981261, -0.5266796424355751, -3.8295858957602875, -6.7244354913826445, -11.206697733399183, -16.211776884621326, -18.274752114843338, -19.119296413788316, -19.08030596785404, -17.972870652069272, 256.32508603158647, 0.09529511915328734]",4,1
"[777.0651889785868, 188.3384610403445, -64.85131247191129, 3.9968100257474988, -20.981135238216986, -14.87655250496069, -9.307683045486016, -15.871431088344279, -12.133045741691667, -5.167305536530499, -18.216335100833955, -10.181700264439053, -15.44553164740281, 843.1422816955534, 0.33627268650893166]",1,0
"[519.8109379754459, 34.35809974020642, 28.118901066105625, 26.593204601804093, 23.848623736180624, 19.90368068565889, 16.54528045523453, 14.599559875773467, 12.019263771558434, 7.8786585382741485, 6.300660086757331, 7.95452064388313, 10.808536231320312, 184.8839153602254, 0.23031127656409417]",5,0
"[508.4875068838914, 41.904516956696234, -9.894358924431417, 7.214363755819179, 2.9663764022811785, -6.615540674736658, -18.88465036522949, -22.832273829067848, -16.261569119300223, -5.471434513947298, -0.07554732934668404, 5.057444746806171, 4.355967737552469, 1326.9557910936273, 0.3193097305615326]",3,0
"[426.7112199442354, -16.081849053853535, -5.027224924505145, 0.3783028354858076, -5.81276142663371, -1.1251563885741531, 5.401663284757971, 7.195497191538265, 4.143603991371585, -8.146047007739124, -9.943112413591091, 2.3626328802526637, 6.800017177509846, 2818.5290924426326, 0.12457505892931217]",3,2
"[548.3322070927136, 59.48948448039186, 11.295399130649317, -5.0114921403193184, -8.046550272795074, -9.20606681980883, -6.515096985387919, -4.081276658577013, -2.179143279223727, 0.8236815790805015, 0.5652371168006057, -3.0875285537494395, -5.805324656632011, 726.8741791306854, 0.13253253940777027]",6,1
"[719.6062447588721, -33.44554699827221, -23.19878265644371, -21.84623221873729, -34.161255530834026, -8.087262656949987, 14.808396127305848, 34.800606137849435, 4.642263289655153, -26.360685448229574, -33.46075029150246, -0.8189985700859629, 13.359562605818255, 1713.796870467734, 0.08737097709863131]",2,0
"[592.4483918786842, 39.331306446104705, 21.431892846174904, 7.008057328800888, 0.3151739802669978, -2.410445017699347, -4.893101626324262, -9.040451216836775, -14.18183585522757, -16.962765306391674, -17.853095012664024, -18.595514734446635, -19.215420851077244, 243.87970656075805, 0.09620802023422814]",4,1
"[585.6448419998034, 21.44569257015907, 19.71128591440614, 17.95717163937372, 16.897459739888284, 16.653733666752867, 16.937411908582845, 17.289920112453636, 17.228548057111787, 16.45013485626792, 15.03198749789777, 13.39039414588285, 12.003494400319527, 135.1759777817748, 0.3264377753381574]",4,1
"[575.8983067180831, 68.70974618972505, 29.694408248220995, 16.867786272392813, 14.307235204778777, 15.64292782743351, 9.861113338426856, 2.529541142722935, -4.157972214441847, -12.37347910176868, -16.03509247525923, -12.231772664102667, -6.969242311002766, 330.44891702548404, 0.10495145163947074]",0,2
"[598.618233858168, 123.60554695599181, 66.6108434137096, 48.44840388317901, 34.045479410783074, 30.0169639537127, 17.969588694622555, -4.4745773886548275, -12.26378878066479, -3.658081044407862, 8.664119848587742, 5.584651590710331, -11.5832076971641, 198.81132232396263, 0.1646918917670249]",6,1
"[551.4298184102738, 29.27015531441217, 3.016736573282558, 6.5315981746264935, -0.2852197280842538, -3.5980102040302384, -2.451589428674064, -0.47333298592407475, -1.1603178205901463, -2.336301405622464, 6.545225928400923, 17.14037597207171, 25.1426484615732, 1632.4758537754226, 0.2177559430192048]",4,1
"[513.2957567200018, 33.08822514674721, 20.346611741558096, 17.939684070970824, 11.497948191300626, 6.85457229219888, 2.433818640198516, -0.22939645989308308, -1.7521603618106991, -0.20348725322285904, 0.27271819149199233, -0.3144415324351631, -1.6907908938616218, 1903.500815261202, 0.2632172297365886]",0,1
"[726.7839205175538, -4.561603025548506, -5.656557862250779, 34.78602754532302, -22.457389130452395, -4.885644299276734, 13.356229876227607, -22.59987045026986, -4.118033224603697, 14.61501742222665, -26.54257903821926, 14.46948814025172, -9.845822144424767, 2464.921996823919, 0.08221029745342488]",0,2
"[460.1080030881849, -7.13962238872975, -9.951678028012992, 1.977700841985451, -3.945034486495031, -4.20950759849869, -7.5928998202378315, 0.6245195903649398, -2.0894648366904343, -3.494286641756703, -9.343866024309172, -4.544967381654483, -6.858278385977174, 1282.3808295188906, 0.08311558012484035]",4,1
"[728.8634473886553, 47.80526184321128, -32.50341108756937, 28.302000164616626, -4.606909219113437, -6.269817579092387, -9.595275083406523, 4.230475973174667, -2.829984166063254, -0.10036372092277335, -9.938658982034307, -2.8252286536200066, -10.375092907834427, 1508.5970364400443, 0.18233514979351323]",8,0
"[557.4563062922192, 15.491945671671873, 3.6106800598418025, 0.010344931781902676, -0.818940411978936, -3.0480447971989637, -4.960163387557304, -5.642781156801444, -5.689326064217754, -5.852881452677756, -5.20624657344046, -2.8581681641213583, 0.620982114869899, 287.6453678173707, 0.053317812775503334]",0,2
"[823.5581702208857, 158.30406975799198, -48.02090840281601, 35.594133760995824, -11.77520243472265, -13.302913503345234, -17.85470955680549, -29.940625807104873, -28.041783952500975, -17.570920053057815, -5.953688402688183, -3.1285339314168725, 1.961962295650853, 964.8074575742651, 0.3071835767179063]",4,1
"[528.7242793347705, -17.680425253747654, 15.151995800341052, 8.759003720576006, -2.6476779563975072, 18.371205598565066, 3.6819376106040203, 26.137552567887038, 35.495268358642285, 4.972032974825072, 5.966603626365081, -14.414106156491417, 13.218353572041126, 728.5205415263472, 0.14660653255965378]",6,1
"[750.8342634655011, -4.334388831838148, -1.6983097657828925, 8.345630445450796, -9.841263180491975, -2.037758905053664, -11.109435251259018, -4.4297162522570455, -27.046230875795253, -24.85060806208478, -28.676365300432423, -13.71173159672496, -8.817018132248531, 1020.9707545803209, 0.1309888802516302]",0,2
"[683.7926281624534, 54.14397066545822, -16.28421320555706, 8.619723071864318, -7.253137323018144, -5.062050819006934, -14.429834867917522, -6.366989137847119, -0.7508419995361486, 15.97721012065183, 24.1841711882089, 35.583877372257625, 22.69641561706556, 798.4317715945879, 0.08793659972784044]",0,2
"[555.5252765245705, 58.363225925852134, 37.736775381082786, 18.287451670567144, 7.042749032365675, 2.1735093260304605, -1.0593933516502512, -5.018539322525808, -9.511184418407948, -13.269103042285609, -14.701672683281494, -13.128073553885491, -10.166465800256917, 470.5479856885406, 0.1390392826557224]",4,0
"[798.7841255408504, 170.98664756354424, -5.904371285103311, 28.819512302264734, 0.9892858380638488, 1.8393118390261425, -15.56884294608278, -4.348894763298166, -12.769984648948313, 4.4259590740195875, -9.582183116261689, -0.5528436925943658, -6.901456157542169, 446.7619407553231, 0.37703821122687237]",7,0
"[677.8450880051422, 147.95874230729763, 13.64142147491325, 36.128980953010846, 3.605157874131976, 7.545869989169295, -3.59736279889925, 1.3216386029777683, -1.4657237072183813, -3.950030625796885, -4.520274763541103, -4.1891241465123885, -2.444547197982115, 1043.1841386228762, 0.40372916689138766]",4,1
"[455.90319286489887, -5.96843495577002, -11.58492820285946, -8.826004193152617, -4.978585932423917, 6.707337584892584, 14.35960038853315, 8.771343630599578, -12.430118818078752, -19.48710133149945, 1.293846595892091, 18.63463744589143, 6.583600507711253, 1019.5593925999011, 0.0726974772470347]",9,2
"[649.1767856703812, 40.98458325428766, -70.55637741971086, 22.61160999832735, -18.170028946904594, 31.210305827838848, -14.583373946392443, -28.758777860331218, 5.53835593570851, -20.74228336697656, -7.617437076990534, -1.9552323440089043, 25.203374186194566, 1645.2443717527465, 0.1290460622305882]",6,1
"[494.70063472826575, 50.22673028473537, 4.0616252578195535, -9.960135615533918, -13.780850643737832, -10.819604461830082, -11.002198739925891, -7.857730130955063, -5.478103024454561, -3.0772802365399996, 1.9321462890523644, 3.3466742438008423, 0.005839053367705019, 1449.4612930252254, 0.1895088430189157]",3,0
"[601.2210329989191, 129.03068926438357, 101.40195229524193, 66.79531453914718, 35.10648214813078, 12.595255235810262, 0.9309448246405947, -2.2644332349464715, -1.3031484716476684, 0.24018812129148903, 0.815539497334076, 0.4873416877643315, -0.13434798167788184, 246.750872527402, 0.3356850930451836]",4,1
"[474.50531122664864, -1.2107289753152737, -12.374647032353085, 2.3023913951220045, 4.96799044831081, 6.005929263571051, -0.24497542965715297, -3.2089895445850996, -1.063283751503904, 8.192178796625647, 6.11605127610795, -1.9354254366818857, -2.0042913647358978, 678.59130092242, 0.05107012293011944]",1,0
"[400.763950365116, 2.6234889696348267, -6.378489779170484, -0.9187192403855208, 0.9154841389888816, 1.3596664710274047, 0.5117395612971185, -2.144358356959493, -2.126454686483567, 2.3261320513999277, 1.8472380198235236, -1.6865757613865555, -1.2309861946892304, 434.1481917858951, 0.030148127680247834]",4,1
"[720.3570981822927, 39.3489942106474, -45.17435630371499, 23.433197610650627, -40.79951737105251, 29.88930575607113, -32.270796374052345, 18.733385617840298, 6.9962896444031495, -21.111642049454566, 2.8444474927137184, -0.1783611065070702, 10.192292492156911, 2220.7618693984505, 0.29168298145009625]",5,2
"[782.8367152675108, 84.23674223042076, -41.078205893503096, 15.16647868046462, -9.225897701352205, -9.510906791428768, -9.874174164290217, 0.9150001807218634, -4.9579406152781695, -6.501350591005275, -14.084961104533486, -5.127149797008064, -15.427730486330521, 1397.7136649970337, 0.1784446278419454]",8,0
"[618.7083367890419, 122.3313402689145, -10.425505033385786, 6.703968526701047, 43.03951844097049, 36.966640545810186, -28.893600365316896, -22.44853589022121, 19.399407842186598, 25.520314372194495, 4.65852734041006, -42.07242999680202, 0.9090434420513109, 1523.9955600728842, 0.1354161091075507]",0,2
"[674.1189792331959, -0.8274634701019364, -66.79527469812072, -18.495575313717122, -30.542396143427464, -13.518229147881614, -17.286829933979064, -5.624111304787303, -12.309761771827931, -4.831466069663852, -12.83234558659308, -4.189692725097244, -11.629591300545746, 1441.4752441598553, 0.14796216855358166]",1,0
"[775.3847676669471, 63.780687689544685, -12.392193973094905, 19.860956463430476, 5.936423043179455, 15.537539920530664, -0.3597281843426223, 1.5917771248243417, -7.38681138299749, -1.6734852701182594, -5.256447124319737, 3.225223360500287, -12.310348998516373, 1297.520007963229, 0.16206375923475666]",8,0
"[523.0113755339596, 23.214287219146367, 12.569087156752966, 11.824852962515275, 7.762185578709801, 4.831632568374015, 2.0980179741292218, -0.0559557137149675, -2.165106557122354, -3.5360759139543445, -4.93078363891147, -6.532666277673523, -8.187266918741212, 1236.3225992786133, 0.24113325658164253]",0,1
"[691.408845401575, 107.7454824324371, -3.155417881570982, 54.87763492248099, 23.757203552817924, 3.87306898991558, -2.4624080711830016, -17.215930273357788, -8.09941234763076, -11.897014153071938, -9.447067844971347, -3.988676493255451, -9.009086633467104, 465.09720504058237, 0.1273308569466991]",6,1
"[446.6295337546095, -0.5377012440092842, -2.7880838458450925, -2.300737416169576, 0.7509073500267702, 3.946548300373773, 0.6253982257482044, -1.8580076919088873, -0.49699828395449247, 1.349909455665999, 2.314295941872531, 1.2948541881422313, -2.4542720143530716, 356.95842363202837, 0.02073531836110367]",4,0
"[584.8903424761755, 36.79664193763773, 12.964288557660991, 2.233949752599309, -3.7806015213919286, -7.2814884411921525, -9.799053139186743, -9.954716361015006, -8.512475920172715, -7.776515760538989, -8.473387129158406, -10.058232115595235, -9.509799085332409, 537.3145600827049, 0.11507033223469705]",3,0
"[386.58036829149785, 8.035796026445693, 4.472750821034513, 2.5569138814651806, 1.4486199639211468, 0.2931914310665214, -0.4118189586967539, -0.5610979669519008, -0.43711642607316764, -0.40453380564553637, -0.4720838196726328, -0.3985292188068449, -0.4654977849168384, 103.21482608923404, 0.03064076960269963]",3,1
"[414.13192482944555, 17.704664801804174, 4.090947249587134, 8.635436957553036, 10.10496230938476, 5.84551350228876, -1.0234908725351466, -0.24667458756077346, 6.978893505091639, 2.511872656395053, -7.677190463399309, 0.07751499078468668, 2.5697705705358027, 1064.488130737419, 0.079028121113196]",3,0
"[565.0572803234173, 14.054150014818623, -1.8472774378752015, 3.081115125993931, 1.125725236229807, 0.5408889803099491, 0.5108446133667955, 0.7752214727183395, -0.6937930021265694, -0.06581658019488479, 1.4014898313236877, 2.3596140265086873, 0.9514414883380472, 137.45024787061018, 0.044861306478648305]",0,2
"[661.7160787300354, 68.75295627925809, -40.85048394971591, 38.27063902534125, -50.27170028052897, -16.018102240228767, -8.049262805083064, -6.805849865472938, -1.1971403891061771, -19.596825818759534, -11.258607284662395, -21.211540036095258, -5.107048541162587, 1262.5847708011095, 0.183939903691653]",6,1
"[597.3588899937268, 40.42868506941501, 23.226397130759793, 33.966584865462025, 8.870764466306214, 9.356404712279117, 5.035607993855443, 2.3278722114907935, -3.5761915025879794, -0.9491435353213404, 0.46643331241382263, -2.3642095340044795, -2.842991778946663, 1548.5789338262612, 0.26990721728091693]",0,1
"[661.6194562799946, 108.26600713204382, 7.980668533232342, 6.401642835583165, 0.10827118794368254, -0.5004097818764189, 1.6804427505690314, -1.408020783687675, -1.469266284002806, -2.6330681200687827, -3.938097829873584, -6.035030767010931, -6.026618520892893, 418.7962238389074, 0.11693347150189769]",0,2
"[540.5898515894888, 20.492576505808305, 2.0235508348906857, -3.5980694974878107, -2.8284528043777737, -2.7954044777083964, -2.239043076124378, -1.0070074667482662, 0.28210012745259266, 1.905447711632214, 4.7106149056563975, 8.32848430803393, 10.283375847793693, 595.7107014436749, 0.18092927420415272]",1,0
"[805.7322497329505, 72.34444618353879, -12.322140870466813, 17.266327528579268, -6.446136902174095, -4.470014639448016, -0.7181616449190461, -7.12981063456142, -14.822880658326413, 0.8993843836558337, -4.357453723903462, 3.216678130096157, -3.7729201526363187, 1020.1827530473222, 0.23166338379699225]",7,0
"[710.7754123522459, 94.33472053079403, -7.056342844132968, 3.7457398170620824, -12.785647544960275, -13.682895686121302, -16.5172195440014, -24.81867770578065, -11.68191146149362, 0.6326501582862541, -4.47328838182216, -18.335372176865544, -9.781428738363719, 951.2671848264694, 0.11684103558081792]",0,2
"[570.0368041017697, 76.20069827308991, 43.78066204295429, 39.7778949922923, 35.487040868868995, 33.77318215957897, 28.630280723100654, 22.59103918940439, 16.041525503731243, 12.34752314688979, 8.249116837948018, 2.74128732420309, -2.479785177380368, 181.00022208827278, 0.386010384010986]",0,2
"[359.20158206462656, -1.2400139723234138, -3.003078335357674, 0.49789673896227993, 3.9980005935410494, -2.5975062621570926, -1.9196249008902249, 1.218770898861469, 3.0161493671917867, -3.117186862334569, -1.4863084699652833, 2.497078203781362, 1.3823052273629821, 798.4259313748214, 0.03329113630902815]",5,0
"[425.31716199563937, 15.169474994792111, -6.835430156722612, -5.338374528667969, -4.569812286198792, -6.973892447363134, -4.19835143778243, -4.592560840873527, -3.5098723854481806, -2.351818774456083, -4.841413524943227, -6.80862739914131, -8.38993162161907, 1542.6369275679574, 0.10284384900284371]",3,0
"[649.4478131552675, 146.82873949052663, 52.68015965564788, 52.83485759906311, 29.959732065579303, -0.22476700009369308, 1.059360070191878, -8.26576156954245, -10.934820224077942, -4.681991860343267, -9.585192980940901, 0.041066116539068276, 6.219435581842166, 246.65315344325901, 0.18227703486304583]",6,1
"[613.0287371175459, 49.9601374721731, 11.876950843501865, 75.45077267964902, 26.36028081453687, -12.322900880181525, 31.206897176250916, 0.7968665858384095, -27.609260130289865, 9.816386520917511, -7.645684156460303, -30.89027789690528, -2.6972415099414135, 830.6894053856881, 0.12116122049247711]",6,1
"[748.9939222305868, 25.395869311961263, -81.83174985209637, 35.31900529305721, -29.058007006700723, -7.936040714603568, -7.73699761805656, -7.434961241165292, -15.160282008026675, -8.407072380551554, -11.097809818927335, -14.807548890295958, -9.1443620244459, 1469.0881207113846, 0.17071917199435663]",7,0
"[536.0218077394386, 23.74454583241408, 20.668263959445017, 19.259859272887432, 17.024389971653232, 14.72579698644918, 12.47689709439446, 10.964577278226367, 9.11188250437673, 8.65891043476281, 9.006990709995485, 8.680345232238887, 7.209001493155886, 252.55075610291846, 0.1836861475396306]",5,0
"[671.9480331413378, 38.72453697690696, -1.2439137794243298, 3.9396543185008763, -62.36956654986703, -39.38097750702109, -20.290334438430463, -4.895547610509787, 0.2910049052274716, -1.4868695944267378, -22.492249951509972, -7.484373665867277, 11.6369619098609, 860.9665293728508, 0.13403306461465223]",5,1
"[600.4468451142108, 5.0955991248172845, -77.11624271272754, 44.261836594957536, 19.58750490453984, 32.39578646385992, -6.199517839500421, -25.289560254043163, 25.19188995997706, 11.905582038565669, -26.69741538242465, -17.443646379134577, 15.146912535606925, 1575.2628603497144, 0.08799669262356641]",6,1
"[365.43167253594436, 3.509673559617156, -9.167006523730906, 4.854015209786553, 7.840173266707904, -4.521732624128696, -4.106320173439604, 4.6786236313784, 1.2550973485808736, -3.148528309853559, 0.6590964893815723, 1.8126138229887694, -0.6436251646611789, 292.8658456583736, 0.02196436824900689]",5,2
"[615.3270167743922, 192.90846575647365, 106.74359590003218, 43.173968583640956, 5.517098887677137, -11.873549141814214, -19.747168080188185, -19.28291910595791, -17.496895992649197, -16.506824543089902, -20.842449801951282, -26.273025809403908, -25.307811792657123, 314.5315440718333, 0.2950744539379838]",8,0
"[736.599795045424, 86.22023630164175, -70.2393830347547, 18.217210403237956, -5.356172910120496, 6.861097430017197, -10.799121411978009, -2.455390162841587, -8.797905855553905, -10.390967374323296, -3.9597481758972224, 2.7147814480301142, 3.1615439766237157, 1319.3007034365578, 0.22681362567691876]",1,0
"[761.7136188455449, -24.580435672244118, 9.241808640270248, -6.583916706313158, -6.521815492814904, -5.638970973276035, -5.414780139678391, -9.526214980422079, 11.877191380648089, 21.01025285774497, 37.945035833360066, 38.53493049429644, -1.9715262013578485, 3761.2973046278303, 0.10691962516223798]",0,2
"[524.0168861923153, 16.731193276075174, -2.8317831147559325, 4.41386904503831, -1.7390065144125213, 1.3936627676218405, -0.7376503552212547, -0.4478812022764721, -2.885704285628472, -2.6979332053489515, -3.2135078599709637, 1.5495909234018213, 6.677039565517405, 788.3089303691751, 0.4444162491512768]",0,2
