features,instrument_family,instrument_source
"[402.7720150198412, -6.664101342994095, -6.27935152819492, 11.498723024724415, -3.101018365095255, -5.257247920166193, 6.1536992950022835, 0.502260914766037, -4.84208361381748, 2.434491467121647, 3.3639572723652287, -5.086336533841828, -0.33050130048453735, 927.8972021968985, 0.0388139582152893, 0.10213216145833333, 207.26618993119448, 971.6641865079365, 18.833342332992437, 0.16657873127179573, 117.1875, 413.7715148925781]",5,0
"[640.0606095536623, 104.27352721160065, 63.33386996824589, 55.35640143337423, 17.462498754154822, 10.827520135060052, 0.35338120031608655, -11.61299643103844, -13.025203288537005, -13.637451724990157, -10.135052590983562, -9.905710246400838, -4.313185147994751, 320.6172001042907, 0.12120444326785891, 0.034896608382936505, 347.2978663994458, 427.82738095238096, 27.093750339114152, 0.2941906172258872, 48.07692307692308, 10720.4482421875]",6,1
"[712.1562384069931, 126.42231004021781, 18.980220137465924, 7.1808613477358, 11.895570125350137, -2.907360314942757, -4.075821982058685, 2.3971539938694977, -0.05633114053217163, 2.7157500375204093, 7.304789308889156, 6.629232316548527, 7.844504579624722, 253.32609935658155, 0.2990105896392569, 0.008641803075396826, 394.4598053637772, 464.905753968254, 24.47209890823626, 0.532408040208363, 104.16666666666667, 8504.1953125]",2,2
"[716.5451735382385, 122.32472030139674, -41.41684702865936, -11.771156746675793, -8.228990245604924, -3.037576373460854, -12.796388373403575, -10.118642062105671, 4.449510796712951, -17.742513787341146, -4.4635515882443455, 14.458287471184379, -25.41541200283145, 617.805286142386, 0.16524367800261985, 0.04745241195436508, 585.3275655306103, 998.8839285714286, 30.485936750768953, 0.4312722621064801, 208.33333333333334, 5830.58642578125]",7,0
"[827.0979662017129, -12.03197104008648, -7.669953785886473, 41.0673958189749, -28.169220830865147, 0.46644154586136727, -18.20685852724383, -10.874218737826775, -17.16301844991639, -10.592942793370753, -32.33251891280439, -6.7914209852143586, -5.210102382249544, 1938.528035532468, 0.18560089759576923, 0.0820583767361111, 1907.9397934628926, 4203.931051587301, 37.106085938942236, 1.2632440416864146, 64.65517241379311, 6634.37841796875]",10,2
"[651.7759602105131, 158.87355985994242, -0.5643196649824318, 1.3611082734370166, 6.462458630656348, -4.399556700527792, 3.345522452411096, -0.10761271507928749, -0.6169284238112323, -1.1931374756604956, -7.056207477703346, -6.851859661404681, -6.566456675006976, 794.8846505211005, 0.29607173182613566, 0.05006820436507937, 757.2010352110766, 1449.7147817460318, 26.4222145567719, 0.10968953108522309, 117.1875, 1563.95556640625]",4,0
"[516.3782998204275, 16.192063995857986, -9.197262068992096, -1.2370022161969811, -16.205282781371686, -4.280833523289025, -0.33819215187448953, -9.379845430680673, -11.734792028173432, 0.4363221001174629, -1.71244299939702, -7.850297921528872, -8.083950701362571, 1042.53102208561, 0.10700983525471983, 0.07817537822420635, 946.4531226869788, 1745.969742063492, 29.143567105847318, 0.009448294366286802, 0.0, 1147.141357421875]",3,1
"[674.0723223123093, 94.89344130843602, -18.560009344734752, -29.527274208995173, -20.223377343595367, -12.483407064915433, -15.299601339879324, -12.706780836591518, -7.213214114149739, -5.1977233843553625, -6.96006882978532, -9.507087527472283, -1.2733064996039065, 867.2618832995475, 0.12529748017524292, 0.057008773561507936, 768.8062147354675, 1451.7609126984128, 26.363027358147708, 0.4931108878714017, 93.75, 10610.255859375]",1,0
"[432.6061747514102, 56.63660543654804, -63.30540637092298, -13.31965163492259, -15.074094610659976, -5.944950926585698, -14.327029865258323, -6.919971243256304, -7.6102574375872285, -0.05257398612209825, -2.5643198746576035, 1.05716299370333, -2.0526205202785186, 967.2259390819328, 0.4756428590954465, 0.053385416666666664, 629.1061523463544, 1411.4583333333333, 26.29976289962445, 0.1759196358834069, 312.5, 273.8448181152344]",0,2
"[757.3263495196405, 94.6128234453356, -8.503332934417495, 40.5991603739844, 2.2848691393938214, -3.4752010827482405, 0.04429165454910456, 2.5565817814472718, -4.515691794813165, -3.828171751428785, -5.1724221864357895, -6.1521994560521165, -5.59488888653645, 716.14233626322, 0.13275996026958445, 0.036830357142857144, 1027.237174408516, 1553.3854166666667, 30.73523674335272, 0.8400291348069369, 93.75, 6771.1396484375]",6,1
"[457.6143553998234, -2.7431616204820637, -0.649936450133098, 1.9548705827521757, 2.763028289690254, -0.07738258243185621, -2.1472849611993285, 3.363155888733723, 1.4315320271675664, -2.348895533158785, -0.15939594544474298, 4.422619379905795, -3.4770677162813275, 3341.9118985610426, 0.1692529229639216, 0.4261106460813492, 1419.7117403238346, 4625.124007936508, 19.976828334010392, 0.04784029254026973, 0.0, 274.7076416015625]",3,0
"[591.5729112601304, 63.96874722502314, 57.11808303037462, 50.30805402978111, 43.1863079814457, 34.74005433237018, 26.813514269357643, 20.737852780488215, 14.889487618892712, 8.344798746339862, 2.894403603462673, -0.474126017726472, -3.2176394953045366, 400.60526269646095, 0.29061350400125296, 0.015101841517857142, 528.8615937949595, 760.3546626984127, 21.644215502483195, 0.184867288802804, 117.1875, 10206.6826171875]",4,1
"[551.1571024735296, 25.21095996006239, 5.725706545761965, -2.006341602424718, -1.6084562095017305, -0.052997358103991185, 0.7996751650966583, 0.9945288418871338, 0.9518981374429597, 0.36719469863547644, 0.3388062328167998, 1.5487234661385003, 4.3474210276441, 851.009218094524, 0.25102552199362904, 0.030835348462301588, 1099.3080076971517, 1997.2718253968253, 20.7980432020487, 0.10917218791141266, 117.1875, 686.8616333007812]",1,0
"[467.65410882241, 52.642369973873365, 39.221482311386026, 31.741797854169405, 28.839360339518514, 27.590200109172073, 25.23299172127784, 22.509221188264554, 18.95796372404742, 16.55259085939691, 14.527377419415965, 12.717588736769448, 11.230360961164404, 185.5435758936892, 0.4959176473967865, 0.006119016617063492, 510.61756785011795, 345.1140873015873, 19.000006700467967, 0.020788702419669406, 0.0, 1664.4527587890625]",3,1
"[96.04342880003138, -13.274672866930933, 10.591186329845025, -7.6971541430558235, 7.056894990002684, -5.703280769410037, 6.690440030351073, -6.2624772027325974, 6.690529416534896, -7.099740479192729, 5.55168696687444, -4.99733963138321, 4.2902128538662705, 4231.867223510591, 0.15322258574514508, 0.46955605158730157, 1890.0337587217714, 5979.290674603175, 12.35112935263634, 0.5916375622343815, 85.22727272727273, 9.335204124450684]",3,2
"[598.9542056720119, 32.627380827881126, 4.510957917577686, -8.595816840109006, -19.912260206035278, -19.198362316570645, -17.406796754720208, 6.326263397654578, 20.33588254174067, -6.616745187679541, -43.47126558877467, -28.6858699105888, 11.080625789985062, 662.8697472304001, 0.0918973308969228, 0.07807074652777778, 525.212517651382, 1294.3328373015872, 38.093976649574635, 0.1261006459154547, 117.1875, 12303.400390625]",0,2
"[439.84316023030595, -23.05968877087293, 0.05750425322998034, 20.109251966993817, -5.054025092637284, -7.226442738135636, 24.583279751676745, 2.407521832692123, -24.896181620943697, 41.88958411117465, -21.235770056528207, 4.679586690697178, 18.830408133161388, 2549.7774495019307, 0.09095960642848035, 0.2814398871527778, 879.4628375316719, 3913.75248015873, 30.939723004169924, 0.2310350555688825, 117.1875, 4090.97412109375]",7,0
"[787.7786259333747, 119.60874321612391, -10.076696071167428, 20.513943438889, -53.95356355866095, -21.97331470772001, 32.19137700323238, -10.681435615330033, -16.609209587806358, 7.477819921024089, 0.5199326190804278, 10.726846124782769, 2.1618116811043855, 978.606410834337, 0.2214139811302743, 0.06626674107142858, 1056.8969735084836, 2172.433035714286, 25.885907921586796, 0.7685843057475514, 170.45454545454547, 4126.34130859375]",10,0
"[570.0301013988382, 51.060337806457554, 24.747347259286176, 21.498770632140282, 18.273456353604356, 17.015150048939933, 14.367755322857773, 14.155175225153426, 12.916089284317913, 12.359232192895202, 10.846326091122206, 9.927290115734996, 8.856886973546146, 130.64397036351548, 0.37086460071872246, 0.005491226438492063, 351.2766963599805, 148.0654761904762, 19.020033728860955, 0.264183245054436, 117.1875, 2609.4580078125]",0,2
"[671.5085854709947, -30.014107513748225, -22.977385684474612, 1.5381456025156641, -18.011857699567475, 13.412836442420614, 46.032013838281976, 55.30624174757172, 15.927825703020115, -19.04543485738566, -28.707304599911108, 21.22176334679586, 27.190872787946695, 1899.825066259876, 0.14147159707548632, 0.11923750620039683, 1643.545265049661, 3601.25248015873, 27.08884399287195, 0.5986856321467723, 133.92857142857142, 5413.447265625]",2,0
"[467.97182948258643, 0.6810066373936767, 1.9968641476423195, 8.449479416865632, -0.8899906706034793, -2.4962345824181615, 5.083369618586712, -1.097711984060903, -4.691966213626737, 7.551327367563669, -3.458104154984908, -1.1659905411235967, 4.588750981380213, 3088.341095212871, 0.17007909384842965, 0.30717540922619047, 1326.8623067750557, 4209.015376984127, 20.040710566232523, 0.07621719121568143, 0.0, 682.3043212890625]",0,2
"[626.3146377219136, 102.58265238679598, 62.132121952866385, 23.689311465113448, 3.2565216897427893, 3.5718767616193214, 14.396407655678937, 21.628296114259268, 18.488009983804137, 7.409542826980366, -4.7769959818284065, -12.936990021603629, -16.05443527191716, 288.5037078159913, 0.1704307483368934, 0.022170293898809524, 355.4860676368436, 480.22073412698415, 29.29856216420747, 0.20906821279221188, 0.0, 7606.99609375]",10,2
"[574.0937502596723, 52.91350791263099, -24.043304875682164, -33.91202659246744, -23.829229426141517, -17.79762395587629, -15.62063963307846, -14.367356463091237, -10.641499769025955, -4.555444852080868, 7.7086802896189965, 22.251633633214762, 28.91006890011779, 637.295597594807, 0.091149176579562, 0.05362180679563492, 461.29412390792464, 883.1225198412699, 26.369701752653125, 0.4075831023865629, 117.1875, 3236.077880859375]",1,0
"[620.7123229254269, -1.6005222416222897, -6.238111869834006, 4.860272495436187, -1.9163057068168077, -1.0595079346079153, -1.1655386354298305, -0.4734754049825654, -1.658819007885751, 2.1288410693139754, -0.05881515267089509, 2.608223880456225, -2.056650634205868, 796.1442626901318, 0.11032298456375735, 0.06377108134920635, 574.2356660580926, 1472.9662698412699, 24.67209888983514, 0.4163600497142817, 156.25, 3129.103759765625]",0,2
"[574.3773820555808, 38.665840466608024, 20.55872793450833, 6.03650341898126, -0.5266796424355741, -3.8295858957602857, -6.724435491382644, -11.206697733399182, -16.211776884621322, -18.27475211484333, -19.119296413788316, -19.08030596785404, -17.972870652069272, 256.32508603158647, 0.09529511915328735, 0.02784365699404762, 170.1243873139905, 277.0337301587302, 24.348249400079457, 0.027852077719091994, 0.0, 5609.8115234375]",4,1
"[777.0651889785869, 188.3384610403445, -64.85131247191129, 3.9968100257475045, -20.981135238216986, -14.876552504960685, -9.307683045486018, -15.871431088344277, -12.133045741691667, -5.1673055365305, -18.216335100833955, -10.181700264439055, -15.44553164740281, 843.1422816955534, 0.33627268650893166, 0.07083565848214286, 757.06175155111, 1423.735119047619, 27.132894356986714, 0.5892113360187795, 89.28571428571429, 4237.0283203125]",1,0
"[519.8109379754459, 34.35809974020642, 28.11890106610563, 26.593204601804093, 23.848623736180624, 19.903680685658887, 16.54528045523453, 14.599559875773464, 12.01926377155843, 7.878658538274148, 6.30066008675733, 7.95452064388313, 10.808536231320314, 184.88391536022542, 0.23031127656409417, 0.01167999751984127, 423.350891490116, 253.41021825396825, 22.1082093456495, 0.00416035871879719, 0.0, 2758.985107421875]",5,0
"[508.4875068838914, 41.904516956696234, -9.894358924431417, 7.214363755819179, 2.966376402281178, -6.615540674736657, -18.88465036522949, -22.832273829067848, -16.261569119300223, -5.4714345139472975, -0.07554732934668361, 5.05744474680617, 4.3559677375524695, 1326.9557910936273, 0.3193097305615326, 0.06848725818452381, 1155.790796894649, 2560.9499007936506, 22.454463134850243, 0.025136666488662404, 117.1875, 687.1339111328125]",3,0
"[426.7112199442354, -16.081849053853535, -5.027224924505146, 0.37830283548580323, -5.812761426633708, -1.1251563885741493, 5.401663284757971, 7.195497191538264, 4.143603991371585, -8.146047007739124, -9.943112413591091, 2.362632880252662, 6.8000171775098455, 2818.5290924426326, 0.12457505892931217, 0.32989598834325395, 1390.451615343354, 4346.106150793651, 22.435631635192706, 0.054608750349575776, 0.0, 439.431640625]",3,2
"[548.3322070927136, 59.48948448039186, 11.295399130649317, -5.011492140319318, -8.046550272795074, -9.206066819808829, -6.51509698538792, -4.081276658577012, -2.179143279223728, 0.8236815790805013, 0.5652371168006058, -3.087528553749438, -5.80532465663201, 726.8741791306854, 0.13253253940777027, 0.05208720858134921, 805.0488732628818, 1335.3174603174602, 23.38720954704821, 0.24440991309555926, 117.1875, 912.45263671875]",6,1
"[719.6062447588721, -33.44554699827221, -23.19878265644371, -21.84623221873729, -34.161255530834026, -8.087262656949989, 14.80839612730585, 34.800606137849435, 4.642263289655158, -26.360685448229574, -33.46075029150245, -0.8189985700859636, 13.359562605818253, 1713.796870467734, 0.08737097709863131, 0.09154498387896826, 1534.3494473579474, 3708.8293650793653, 28.50010112734418, 0.629020960301896, 85.22727272727273, 8829.7255859375]",2,0
"[592.4483918786842, 39.3313064461047, 21.431892846174897, 7.008057328800886, 0.31517398026699717, -2.4104450176993466, -4.893101626324262, -9.040451216836775, -14.181835855227568, -16.962765306391674, -17.853095012664024, -18.59551473444664, -19.21542085107724, 243.8797065607581, 0.09620802023422814, 0.026371062748015872, 163.548680461097, 266.6170634920635, 24.96796161510736, 0.02708625878024404, 0.0, 5837.875]",4,1
"[585.6448419998034, 21.44569257015907, 19.71128591440614, 17.957171639373716, 16.897459739888284, 16.653733666752867, 16.937411908582845, 17.289920112453636, 17.228548057111787, 16.450134856267923, 15.031987497897775, 13.39039414588285, 12.003494400319529, 135.17597778177483, 0.3264377753381574, 0.00553772941468254, 454.60362115554983, 186.01190476190476, 19.47906559187644, 0.01475234510334117, 0.0, 3253.8466796875]",4,1
"[575.8983067180831, 68.70974618972505, 29.694408248220995, 16.867786272392816, 14.30723520477878, 15.64292782743351, 9.861113338426858, 2.5295411427229344, -4.157972214441849, -12.373479101768682, -16.03509247525923, -12.231772664102666, -6.969242311002765, 330.44891702548404, 0.10495145163947074, 0.03579566592261905, 344.1992945537617, 444.1344246031746, 24.305992043177145, 0.25713538972412714, 0.0, 1812.81201171875]",0,2
"[598.618233858168, 123.60554695599181, 66.6108434137096, 48.448403883179, 34.04547941078305, 30.016963953712693, 17.969588694622562, -4.474577388654814, -12.26378878066478, -3.6580810444078584, 8.664119848587735, 5.584651590710321, -11.58320769716411, 198.8113223239626, 0.1646918917670249, 0.019585503472222224, 251.263668417616, 288.4424603174603, 27.68403441617738, 0.23057885213056764, 117.1875, 8909.6298828125]",6,1
"[551.4298184102738, 29.27015531441217, 3.016736573282557, 6.5315981746264935, -0.2852197280842535, -3.5980102040302384, -2.4515894286740645, -0.47333298592407363, -1.160317820590147, -2.3363014056224642, 6.545225928400923, 17.14037597207171, 25.1426484615732, 1632.4758537754226, 0.2177559430192048, 0.06178695436507937, 1557.2662990322751, 3153.7078373015875, 22.274481900492894, 0.20320573265651737, 312.5, 1787.7049560546875]",4,1
"[513.2957567200018, 33.088225146747206, 20.346611741558096, 17.939684070970824, 11.497948191300628, 6.85457229219888, 2.433818640198515, -0.2293964598930834, -1.7521603618106991, -0.20348725322285927, 0.2727181914919919, -0.3144415324351626, -1.6907908938616225, 1903.500815261202, 0.2632172297365886, 0.08530195932539683, 1693.8426779531126, 3636.0987103174602, 21.03076934265575, 0.1036937902841238, 117.1875, 735.5121459960938]",0,1
"[726.7839205175538, -4.561603025548506, -5.656557862250777, 34.78602754532302, -22.4573891304524, -4.885644299276734, 13.356229876227607, -22.59987045026986, -4.118033224603694, 14.61501742222665, -26.54257903821926, 14.469488140251714, -9.845822144424769, 2464.921996823919, 0.08221029745342488, 0.2941080729166667, 870.7637883022421, 2495.721726190476, 25.796314850925626, 0.251625984054421, 98.6842105263158, 8555.6796875]",0,2
"[460.1080030881849, -7.139622388729752, -9.951678028012994, 1.9777008419854492, -3.945034486495032, -4.209507598498693, -7.592899820237829, 0.624519590364946, -2.089464836690436, -3.4942866417567005, -9.34386602430917, -4.544967381654482, -6.858278385977166, 1282.3808295188906, 0.08311558012484035, 0.11897398933531746, 898.4814214041156, 2166.4186507936506, 24.325205287073477, 0.009136115411129103, 0.0, 485.0248107910156]",4,1
"[728.8634473886553, 47.80526184321128, -32.50341108756937, 28.302000164616633, -4.606909219113438, -6.269817579092386, -9.595275083406525, 4.2304759731746655, -2.829984166063252, -0.10036372092277479, -9.938658982034308, -2.8252286536200075, -10.375092907834429, 1508.5970364400443, 0.18233514979351323, 0.10210115947420635, 1358.810067906609, 2700.0868055555557, 27.56836333481817, 0.8106566122357531, 133.92857142857142, 3514.655517578125]",8,0
"[557.4563062922192, 15.491945671671873, 3.6106800598418025, 0.010344931781903578, -0.8189404119789364, -3.0480447971989646, -4.960163387557306, -5.642781156801444, -5.689326064217755, -5.852881452677756, -5.206246573440459, -2.858168164121358, 0.6209821148698992, 287.6453678173707, 0.05331781277550334, 0.02449156746031746, 290.8748625040744, 391.8030753968254, 24.198336506935913, 0.024611836847599017, 0.0, 1232.8231201171875]",0,2
"[823.5581702208857, 158.30406975799198, -48.02090840281601, 35.59413376099582, -11.775202434722653, -13.30291350334523, -17.85470955680549, -29.940625807104865, -28.041783952500975, -17.57092005305781, -5.953688402688183, -3.1285339314168716, 1.9619622956508518, 964.8074575742651, 0.3071835767179063, 0.05537341889880952, 907.104221139593, 1849.454365079365, 24.92162293794953, 0.3371959893616034, 98.6842105263158, 8283.2939453125]",4,1
"[528.7242793347705, -17.680425253747647, 15.15199580034106, 8.759003720576015, -2.6476779563974997, 18.371205598565073, 3.6819376106040265, 26.137552567887045, 35.495268358642285, 4.972032974825074, 5.966603626365081, -14.414106156491417, 13.218353572041122, 728.5205415263473, 0.14660653255965378, 0.00016276041666666666, 1579.3568738212693, 2709.5114087301586, 38.26681965741552, 0.2756666569450992, 0.0, 14049.37890625]",6,1
"[750.8342634655011, -4.334388831838152, -1.698309765782896, 8.345630445450794, -9.841263180491978, -2.0377589050536646, -11.109435251259018, -4.429716252257049, -27.046230875795256, -24.850608062084778, -28.67636530043242, -13.71173159672496, -8.817018132248528, 1020.9707545803209, 0.1309888802516302, 0.045003255208333336, 1160.5386830465895, 1806.2996031746031, 35.072499007338884, 0.1794002003064257, 21.06741573033708, 20565.0390625]",0,2
"[683.7926281624534, 54.14397066545822, -16.284213205557062, 8.61972307186432, -7.2531373230181435, -5.062050819006933, -14.429834867917526, -6.366989137847124, -0.7508419995361486, 15.97721012065183, 24.1841711882089, 35.583877372257625, 22.696415617065558, 798.431771594588, 0.08793659972784044, 0.055121527777777776, 744.6528518905537, 1359.375, 28.045651258621355, 0.338394237006854, 133.92857142857142, 8512.9365234375]",0,2
"[555.5252765245705, 58.36322592585213, 37.736775381082786, 18.287451670567137, 7.0427490323656725, 2.1735093260304597, -1.0593933516502507, -5.0185393225258075, -9.511184418407947, -13.269103042285607, -14.701672683281496, -13.12807355388549, -10.166465800256917, 470.54798568854073, 0.1390392826557224, 0.03258308531746032, 565.5785194909046, 674.0451388888889, 25.1811614976944, 0.13522925233565627, 0.0, 1497.5836181640625]",4,0
"[798.7841255408504, 170.98664756354424, -5.904371285103312, 28.819512302264737, 0.9892858380638496, 1.8393118390261403, -15.56884294608278, -4.348894763298164, -12.769984648948318, 4.4259590740195875, -9.582183116261687, -0.5528436925943678, -6.9014561575421665, 446.7619407553231, 0.37703821122687237, 0.030622209821428572, 557.8147465048221, 637.0907738095239, 22.091355652401237, 0.23249008629561477, 312.5, 8016.18310546875]",7,0
"[677.8450880051422, 147.95874230729763, 13.641421474913246, 36.128980953010846, 3.60515787413198, 7.545869989169291, -3.5973627988992503, 1.321638602977769, -1.46572370721838, -3.9500306257968854, -4.520274763541103, -4.1891241465123885, -2.4445471979821147, 1043.1841386228762, 0.40372916689138766, 0.061577690972222224, 953.8297087819808, 1770.5853174603174, 25.334477798763157, 0.33944255948870095, 117.1875, 3434.015380859375]",4,1
"[455.90319286489887, -5.96843495577002, -11.58492820285946, -8.826004193152617, -4.978585932423917, 6.7073375848925885, 14.359600388533153, 8.771343630599576, -12.430118818078753, -19.48710133149945, 1.2938465958920926, 18.634637445891432, 6.583600507711253, 1019.5593925999012, 0.0726974772470347, 0.09452117435515874, 595.0042579767932, 1275.9176587301588, 28.934322602078662, 0.027020734927900084, 0.0, 1208.43408203125]",9,2
"[649.1767856703812, 40.98458325428766, -70.55637741971086, 22.61160999832735, -18.170028946904594, 31.210305827838848, -14.583373946392447, -28.758777860331218, 5.538355935708507, -20.742283366976558, -7.617437076990534, -1.9552323440089039, 25.203374186194566, 1645.2443717527462, 0.1290460622305882, 0.17474655877976192, 982.9293665510269, 3028.8938492063494, 28.26821998119554, 0.8550040978439958, 117.1875, 4580.123046875]",6,1
"[494.70063472826575, 50.22673028473537, 4.061625257819552, -9.960135615533916, -13.780850643737834, -10.819604461830082, -11.002198739925895, -7.857730130955062, -5.478103024454561, -3.077280236539999, 1.9321462890523633, 3.3466742438008428, 0.005839053367703764, 1449.4612930252254, 0.1895088430189157, 0.07837301587301587, 1221.1587687174033, 2646.6393849206347, 22.3491597704498, 0.05457227420540997, 117.1875, 613.3027954101562]",3,0
"[601.2210329989191, 129.03068926438357, 101.40195229524193, 66.7953145391472, 35.10648214813078, 12.595255235810262, 0.9309448246405911, -2.2644332349464733, -1.3031484716476671, 0.2401881212914923, 0.8155394973340793, 0.48734168776433134, -0.13434798167788478, 246.750872527402, 0.3356850930451836, 0.011137462797619048, 258.69482904620423, 494.5436507936508, 22.81819404137956, 0.035350246735633514, 0.0, 7093.94189453125]",4,1
"[474.50531122664864, -1.210728975315273, -12.374647032353085, 2.3023913951220063, 4.967990448310812, 6.005929263571051, -0.24497542965715285, -3.2089895445850996, -1.063283751503904, 8.192178796625646, 6.11605127610795, -1.935425436681885, -2.004291364735898, 678.59130092242, 0.05107012293011944, 0.049727182539682536, 502.5913655904058, 1195.6225198412699, 30.211908485922397, 0.08620779034510415, 117.1875, 463.9639587402344]",1,0
"[400.763950365116, 2.623488969634826, -6.378489779170484, -0.9187192403855214, 0.9154841389888823, 1.359666471027405, 0.5117395612971176, -2.144358356959492, -2.126454686483567, 2.326132051399928, 1.8472380198235232, -1.6865757613865557, -1.2309861946892304, 434.1481917858951, 0.030148127680247834, 0.024774460565476192, 261.1339396012545, 679.0054563492064, 16.78116721227392, 0.09372195281758965, 117.1875, 157.52854919433594]",4,1
"[720.3570981822927, 39.3489942106474, -45.17435630371499, 23.43319761065063, -40.79951737105251, 29.88930575607113, -32.27079637405234, 18.733385617840295, 6.996289644403152, -21.111642049454566, 2.844447492713723, -0.17836110650707246, 10.192292492156911, 2220.7618693984505, 0.2916829814500963, 0.2669542100694444, 1493.0895021706217, 3955.1711309523807, 26.887532521878704, 1.8662236191036914, 156.25, 1960.4473876953125]",5,2
"[782.8367152675108, 84.23674223042077, -41.0782058935031, 15.166478680464621, -9.225897701352203, -9.510906791428772, -9.874174164290217, 0.9150001807218632, -4.957940615278166, -6.5013505910052745, -14.084961104533487, -5.127149797008064, -15.427730486330525, 1397.7136649970337, 0.17844462784194537, 0.0832248263888889, 1304.6994944683377, 2491.815476190476, 25.586230261578972, 0.7780586628269243, 133.92857142857142, 3668.216064453125]",8,0
"[618.7083367890418, 122.33134026891449, -10.425505033385788, 6.703968526701046, 43.0395184409705, 36.966640545810186, -28.89360036531689, -22.44853589022121, 19.39940784218659, 25.520314372194495, 4.658527340410061, -42.072429996802036, 0.909043442051314, 1523.9955600728842, 0.1354161091075507, 0.1739831349206349, 735.2537442452183, 1918.5887896825398, 24.291531779715264, 0.42567963883406384, 78.125, 5524.26416015625]",0,2
